Period,City,Channel,Category,Segment,Manufacturer,Brand,Item Name,Pack_Size,Packaging,Unit_Price,Sales_Volume(KG_LTRS),Sales_Value
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,96.19,"123,874.4","40,023,131.7"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,"13,407.6","4,900,170.5"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,95.68,"125,987.8","43,603,147.5"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"34,320.5","12,543,371.2"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"136,262.0","49,800,645.7"
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,171.00,0.0,0.0
Jan-21,Abidjan,Open_Market,PASTA,DRY PASTA,GOYMEN FOODS,MONDO,MONDO SPAGHETTI,500G,SACHET,285.00,"21,181.4","8,847,241.6"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,96.19,"19,478.0","6,368,623.6"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,"1,617.9","591,299.9"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,710.00","5,508.8","1,520,485.5"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,94.05,"9,788.4","3,231,031.7"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.86,"13,024.0","4,768,073.6"
Jan-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"22,084.2","8,071,243.9"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,99.75,"5,125.9","1,873,390.5"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,99.75,"3,850.2","1,407,187.3"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,767.00","4,370.1","1,229,135.0"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,97.85,"6,325.6","2,293,140.9"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"4,290.4","1,568,008.7"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,100.64,"12,760.8","4,681,051.5"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,285.00,206.2,"86,154.3"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"3,816.6","1,594,101.7"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,PAGANINI,PAGANINI,PAGANINI SPAGHETTI,200G,SACHET,99.75,365.9,"133,727.6"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI CAPELLINI,500G,SACHET,570.00,261.4,"218,389.6"
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI TORTI WITH,500G,BAG,855.00,0.0,0.0
Jan-21,Bouake,Groceries,PASTA,DRY PASTA,PASTA DOUBA,PASTA DOUBA,PASTA DOUBA SPAGHETTI,500G,SACHET,228.00,"3,172.8","1,060,182.4"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,95.00,"9,963.7","3,412,592.4"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR SPAGHETTI,200G,SACHET,85.50,956.6,"299,642.3"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,92.63,"1,992.6","631,190.9"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,96.90,"5,314.1","1,858,891.8"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"3,852.5","1,408,041.2"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"12,089.1","4,418,336.1"
Jan-21,Bouake,Open_Market,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"10,461.9","4,369,782.9"
Feb-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,89.06,"64,285.6","20,371,533.3"
Feb-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"62,505.9","22,844,520.2"
Feb-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,101.53,"53,185.8","20,346,610.4"
Feb-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"26,841.6","9,809,972.9"
Feb-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,100.37,"380,503.0","138,942,175.4"
Feb-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"32,284.3","10,113,609.7"
Feb-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,71.25,"103,116.0","26,918,974.0"
Feb-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"43,450.6","15,880,217.9"
Feb-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,99.75,"51,118.4","18,682,609.3"
Feb-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"122,684.0","44,838,262.4"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"16,338.8","5,118,378.1"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,85.50,"14,223.1","4,455,612.5"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,96.19,"112,965.1","36,278,616.3"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,"12,688.2","4,637,223.5"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,95.68,"113,442.8","39,199,141.1"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"48,433.0","17,701,229.4"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,106.23,"146,322.7","53,477,657.9"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,171.00,0.0,0.0
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,GOYMEN FOODS,MONDO,MONDO SPAGHETTI,500G,SACHET,285.00,"19,063.2","7,962,517.5"
Feb-21,Abidjan,Open_Market,PASTA,DRY PASTA,GOYMEN FOODS,PASTA AROMA,PASTA AROMA,200G,SACHET,71.25,"14,365.2","3,750,099.0"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,96.19,"19,478.2","6,885,065.9"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,4540G,BAG,"1,710.00","3,374.2","931,299.6"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,"1,486.5","543,258.1"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,710.00","8,435.5","2,328,249.0"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,94.05,"11,148.1","3,698,035.5"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI SUPERIOR,4540G,BAG,"1,710.00","3,374.2","931,299.6"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"14,269.8","5,215,277.8"
Feb-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"11,594.3","4,237,413.2"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,99.75,"5,125.9","1,873,390.5"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,99.75,"1,626.2","594,412.3"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,767.00","4,533.9","1,263,312.3"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,97.97,"7,875.1","2,791,800.9"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI SUPERIOR,4540G,BAG,"1,824.00",647.6,"190,688.6"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"3,480.9","1,272,250.8"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,100.59,"13,496.1","4,995,148.6"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,285.00,142.6,"59,590.2"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"3,816.5","1,594,101.7"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,PAGANINI,PAGANINI,PAGANINI SPAGHETTI,200G,SACHET,99.75,384.6,"140,554.5"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI CAPELLINI,500G,SACHET,570.00,261.4,"218,389.6"
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI TORTI WITH,500G,BAG,855.00,0.0,0.0
Feb-21,Bouake,Groceries,PASTA,DRY PASTA,PASTA DOUBA,PASTA DOUBA,PASTA DOUBA SPAGHETTI,500G,SACHET,228.00,"3,172.8","1,060,182.4"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,95.00,"9,062.9","2,965,293.1"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR SPAGHETTI,200G,SACHET,85.50,956.6,"299,642.3"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,92.63,"3,852.7","1,248,509.4"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,96.90,"7,041.1","2,531,699.6"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"4,915.6","1,796,466.3"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"9,299.6","3,398,720.1"
Feb-21,Bouake,Open_Market,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,0.0,0.0
Mar-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"61,357.1","19,221,175.1"
Mar-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"57,883.5","21,155,181.7"
Mar-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,99.75,"68,997.2","25,216,976.6"
Mar-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"34,845.9","12,735,419.4"
Mar-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"361,310.0","131,579,185.6"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"32,283.8","10,113,472.9"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,71.25,"97,412.1","25,429,940.0"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"15,314.6","5,597,141.1"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,105.45,"18,807.4","7,266,463.8"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,500G,SACHET,256.50,"29,218.7","10,983,863.3"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,102.60,"47,555.8","17,700,432.5"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,500G,SACHET,256.50,"14,441.3","5,428,806.0"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,105.45,"14,777.2","5,709,364.4"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"59,780.7","21,848,489.2"
Mar-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,256.50,"10,747.1","4,040,041.7"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"16,338.8","5,118,378.1"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,85.50,"14,223.1","4,455,612.5"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,96.19,"72,546.5","23,906,173.0"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,"14,905.8","5,447,709.7"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,95.68,"105,608.6","37,306,048.7"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"58,909.3","21,530,044.3"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,106.23,"181,881.7","66,473,649.5"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,171.00,0.0,0.0
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,GOYMEN FOODS,MONDO,MONDO SPAGHETTI,500G,SACHET,285.00,"19,063.2","7,962,517.5"
Mar-21,Abidjan,Open_Market,PASTA,DRY PASTA,GOYMEN FOODS,PASTA AROMA,PASTA AROMA,200G,SACHET,71.25,"14,365.2","3,750,099.0"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,96.19,"22,519.6","7,531,885.6"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,4540G,BAG,"1,710.00","2,028.9","559,984.6"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,99.75,0.0,0.0
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,710.00","4,057.8","1,119,969.2"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,94.05,"3,664.5","1,227,299.6"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI SUPERIOR,4540G,BAG,"1,710.00","2,028.9","559,984.6"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"16,356.3","5,977,835.8"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"20,110.1","7,349,798.1"
Mar-21,Bouake,Boutique,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"7,798.9","3,257,536.6"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,99.75,"5,256.0","1,920,911.3"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,99.75,"3,632.9","1,327,737.8"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,4540G,BAG,"1,767.00","4,474.9","1,246,867.9"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,98.91,"6,364.7","2,320,232.9"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI SUPERIOR,4540G,BAG,"1,824.00","1,278.6","376,412.9"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"4,731.1","1,729,146.9"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,100.59,"10,758.0","3,953,806.2"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,285.00,563.3,"235,258.1"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"3,646.4","1,523,116.2"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,PAGANINI,PAGANINI,PAGANINI SPAGHETTI,200G,SACHET,99.75,421.2,"153,940.6"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI CAPELLINI,500G,SACHET,570.00,261.4,"218,389.6"
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,PANZANI,PANZANI,PANZANI TORTI WITH,500G,BAG,855.00,0.0,0.0
Mar-21,Bouake,Groceries,PASTA,DRY PASTA,PASTA DOUBA,PASTA DOUBA,PASTA DOUBA SPAGHETTI,500G,SACHET,256.50,"3,525.4","1,330,964.9"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,95.00,"9,063.1","3,118,719.8"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR SPAGHETTI,200G,SACHET,92.63,"1,062.8","374,552.8"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,95.00,"3,504.0","1,154,457.3"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,96.90,"4,833.3","1,734,840.2"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"9,424.5","3,444,446.4"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"11,357.7","4,150,999.5"
Mar-21,Bouake,Open_Market,PASTA,DRY PASTA,DOUBA,DOUBA,DOUBA  SACHET,500G,SACHET,285.00,"10,461.7","4,369,782.9"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"70,857.6","22,197,204.0"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"52,523.8","19,196,272.3"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,99.75,"7,768.2","2,839,112.5"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,98.17,"80,065.8","28,487,913.3"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,99.75,"48,374.9","17,679,928.1"
Apr-21,Abidjan,Boutique,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,97.97,"334,298.6","120,464,098.0"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,ALYSSA,ALYSSA SPAGHETTI,200G,SACHET,85.50,"32,284.1","10,113,587.2"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,BLE D'OR,BLE D'OR,200G,SACHET,71.25,"97,413.1","25,430,227.3"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SUPERIOR QUALITY,200G,SACHET,99.75,"23,556.5","8,609,395.8"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN COQUILLETTES,200G,SACHET,99.75,"3,124.9","1,142,062.7"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,200G,SACHET,105.45,"19,229.9","7,429,682.7"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN SPAGHETTI,500G,SACHET,256.50,"3,305.1","1,242,463.8"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,200G,SACHET,102.60,"34,854.1","13,252,947.5"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN VERMICELLI,500G,SACHET,256.50,"15,023.3","5,647,562.9"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.1 SPAGHETTI,200G,SACHET,102.60,"28,484.2","10,924,896.6"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,200G,SACHET,99.75,"73,554.3","26,882,399.2"
Apr-21,Abidjan,Groceries,PASTA,DRY PASTA,CAPRA,MAMAN,MAMAN 1.5 SPAGHETTI,500G,SACHET,256.50,"22,835.4","8,584,295.5"
